[2025-11-13 15:00:42.243] [logger] [info] Starting MLE thread
[2025-11-13 15:00:42.243] [logger] [info] Inited communication
[2025-11-13 15:00:56.314] [logger] [info] restarts succesfull
[2025-11-13 15:00:56.314] [logger] [info] starting communication
[2025-11-13 15:00:56.314] [logger] [info] calling chip_pair
[2025-11-13 15:01:35.200] [logger] [info] chip-pair succesfull!
[2025-11-13 15:01:39.057] [logger] [info] COLLECTED RBT CNT: 2
[2025-11-13 15:01:47.133] [logger] [info] ================ START OF A NEW FUZZING ITERATION 0 ================
[2025-11-13 15:01:48.134] [logger] [warning] DUT stays silent...
[2025-11-13 15:01:49.136] [logger] [warning] DUT stays silent...
[2025-11-13 15:01:50.137] [logger] [warning] DUT stays silent...
[2025-11-13 15:01:51.139] [logger] [warning] DUT stays silent...
[2025-11-13 15:01:52.140] [logger] [warning] DUT stays silent...
[2025-11-13 15:01:53.141] [logger] [warning] DUT stays silent...
[2025-11-13 15:01:54.143] [logger] [warning] DUT stays silent...
[2025-11-13 15:01:55.144] [logger] [warning] DUT stays silent...
[2025-11-13 15:01:56.145] [logger] [warning] DUT stays silent...
[2025-11-13 15:01:57.146] [logger] [warning] DUT stays silent...
[2025-11-13 15:01:58.147] [logger] [warning] DUT stays silent...
[2025-11-13 15:01:59.148] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:00.150] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:01.151] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:02.152] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:03.154] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:04.155] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:05.156] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:06.157] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:07.158] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:08.160] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:09.161] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:10.162] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:11.163] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:12.164] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:13.166] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:14.167] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:15.168] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:16.169] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:17.170] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:18.171] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:19.173] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:20.174] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:21.175] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:22.176] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:23.178] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:24.179] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:25.180] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:26.182] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:27.183] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:28.184] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:29.185] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:30.186] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:31.188] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:32.189] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:33.190] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:34.191] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:35.192] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:36.193] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:37.194] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:38.196] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:39.197] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:40.198] [logger] [warning] DUT stays silent...
[2025-11-13 15:02:41.199] [logger] [warning] DUT stays silent...
