[2025-11-12 10:18:55.995] [logger] [info] Starting MLE thread
[2025-11-12 10:18:55.995] [logger] [info] Inited communication
[2025-11-12 10:19:03.066] [logger] [info] restarts succesfull
[2025-11-12 10:19:03.067] [logger] [info] starting communication
[2025-11-12 10:19:03.067] [logger] [info] calling chip_pair
[2025-11-12 10:19:49.969] [logger] [info] chip-pair succesfull!
[2025-11-12 10:19:53.870] [logger] [info] COLLECTED RBT CNT: 2
[2025-11-12 10:20:00.948] [logger] [info] ================ START OF A NEW FUZZING ITERATION 0 ================
[2025-11-12 10:20:01.950] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:02.951] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:03.953] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:04.954] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:05.956] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:06.957] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:07.958] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:08.959] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:09.961] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:10.962] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:11.963] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:12.964] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:13.965] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:14.967] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:15.968] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:16.969] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:17.970] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:18.971] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:19.973] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:20.974] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:21.975] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:22.976] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:23.977] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:24.979] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:25.980] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:26.981] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:27.982] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:28.984] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:29.985] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:30.986] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:31.987] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:32.988] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:33.989] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:34.990] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:35.991] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:36.992] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:37.993] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:38.994] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:39.995] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:40.996] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:41.997] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:42.998] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:43.999] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:45.001] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:46.002] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:47.003] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:48.004] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:49.006] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:50.008] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:51.009] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:52.010] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:53.011] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:54.012] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:55.014] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:56.015] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:57.016] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:58.018] [logger] [warning] DUT stays silent...
[2025-11-12 10:20:59.019] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:00.020] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:01.022] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:02.023] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:03.025] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:04.026] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:05.027] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:06.028] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:07.030] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:08.031] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:09.033] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:10.034] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:11.035] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:11.035] [logger] [info] Iteration time: 70
[2025-11-12 10:21:11.035] [logger] [info] Renewing fuzzing iteration
[2025-11-12 10:21:11.035] [logger] [info] [RBTCNT_FUZZER]: NORMAL
[2025-11-12 10:21:11.035] [logger] [info] vvvvvvvvvvvvvvvvvvvvvvvvv SAVED PATCHES vvvvvvvvvvvvvvvvvvvvvvvvv
[2025-11-12 10:21:11.035] [logger] [info] ^^^^^^^^^^^^^^^^^^^^^^^^^ SAVED PATCHES ^^^^^^^^^^^^^^^^^^^^^^^^^
[2025-11-12 10:21:15.107] [logger] [info] ================ START OF A NEW FUZZING ITERATION 1 ================
[2025-11-12 10:21:16.108] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:17.109] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:18.111] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:19.112] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:20.113] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:21.115] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:22.116] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:23.117] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:24.119] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:25.120] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:26.121] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:27.123] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:28.124] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:29.125] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:30.127] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:31.128] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:32.129] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:33.131] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:34.132] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:35.133] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:36.134] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:37.135] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:38.136] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:39.138] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:40.139] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:41.140] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:42.142] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:43.143] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:44.144] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:45.145] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:46.146] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:47.147] [logger] [warning] DUT stays silent...
[2025-11-12 10:21:48.148] [logger] [warning] DUT stays silent...
